"Filter";;;;
;;;;
"Ergebnisplan 2014 (Erträge)";;;;
;;;;
"Teilplan";"Titel";"Ansatz 2014 (Euro)";"Ansatz 2013 (Euro)";"Ergebnis 2013 (Euro)"
21;"Finanzen";377120,00;392460,00;"n.a."
43;"Kultur und Marketing";445000,00;445000,00;"n.a."
11;"Verwaltungsführung, Rechnungsprüfung, Personalrat, Gleichstellung und Integration";772230,00;768030,00;"n.a."
32;"Stadtentwicklung und Stadtplanung";935300,00;988430,00;"n.a."
34;"Bauen und Umwelt";2169440,00;2084680,00;"n.a."
12;"Recht und Personal";2521720,00;2521720,00;"n.a."
26;"Bürgerdienste";6628880,00;6493460,00;"n.a."
36;"Stadtumbau";6697980,00;6982820,00;"n.a."
25;"Ordnung und Sicherheit";10780840,00;10735350,00;"n.a."
42;"Gesundheit und Soziales";19296060,00;18864610,00;"n.a."
44;"Jugend und Familie";33411720,00;33483890,00;"n.a."
90;"Zentrale Finanzdienstleistungen";182628100,00;179724360,00;"n.a."
;"Summe";266664390,00;263484810,00;"n.a."
