"Filter";;;;
;;;;
"Ergebnisplan 2012 (Erträge)";;;;
;;;;
"Teilplan";"Titel";"Ansatz 2012 (Euro)";"Ansatz 2011 (Euro)";"Ergebnis 2011 (Euro)"
21;"Finanzen";424400,00;619340,00;686950,57
11;"Verwaltungsführung, Rechnungsprüfung, Personalrat, Gleichstellung und Integration";546550,00;636320,00;767210,39
32;"Stadtentwicklung und Stadtplanung";724620,00;618800,00;1395753,92
34;"Bauen und Umwelt";2328880,00;2145990,00;3023059,54
12;"Recht und Personal";2416150,00;2296810,00;2975605,76
36;"Stadtumbau";5228900,00;5749790,00;8120628,10
26;"Bürgerdienste";6117570,00;5772030,00;6471644,28
25;"Ordnung und Sicherheit";10911800,00;10139470,00;10298450,38
44;"Jugend und Familie";30108580,00;27893850,00;30665851,74
42;"Gesundheit und Soziales";43268600,00;40420300,00;46244750,20
90;"Zentrale Finanzdienstleistungen";149390530,00;146821600,00;156434436,73
43;"Kultur und Marketing";0,00;0,00;27896,24
;"Summe";251466580,00;243114300,00;267112237,85
