"Filter";;;;
;;;;
"Ergebnisplan 2013 (Erträge)";;;;
;;;;
"Teilplan";"Titel";"Ansatz 2013 (Euro)";"Ansatz 2012 (Euro)";"Ergebnis 2012 (Euro)"
21;"Finanzen";392460,00;424400,00;"n.a."
43;"Kultur und Marketing";445000,00;0,00;"n.a."
11;"Verwaltungsführung, Rechnungsprüfung, Personalrat, Gleichstellung und Integration";768030,00;546550,00;"n.a."
32;"Stadtentwicklung und Stadtplanung";988430,00;724620,00;"n.a."
34;"Bauen und Umwelt";2084680,00;2328880,00;"n.a."
12;"Recht und Personal";2521720,00;2416150,00;"n.a."
26;"Bürgerdienste";6493460,00;6117570,00;"n.a."
36;"Stadtumbau";6982820,00;5228900,00;"n.a."
25;"Ordnung und Sicherheit";10735350,00;10911800,00;"n.a."
42;"Gesundheit und Soziales";18864610,00;43268600,00;"n.a."
44;"Jugend und Familie";33483890,00;30108580,00;"n.a."
90;"Zentrale Finanzdienstleistungen";179724360,00;149390530,00;"n.a."
;"Summe";263484810,00;251466580,00;"n.a."
