"Filter";;;;
;;;;
"Ergebnisplan 2011 (Aufwendungen)";;;;
;;;;
"Teilplan";"Titel";"Ansatz 2011 (Euro)";"Ansatz 2010 (Euro)";"Ergebnis 2010 (Euro)"
32;"Stadtentwicklung und Stadtplanung";3579060,00;"n.a.";"n.a."
34;"Bauen und Umwelt";3654690,00;"n.a.";"n.a."
21;"Finanzen";5370550,00;"n.a.";"n.a."
11;"Verwaltungsführung, Rechnungsprüfung, Personalrat, Gleichstellung und Integration";6052240,00;"n.a.";"n.a."
26;"Bürgerdienste";7446190,00;"n.a.";"n.a."
12;"Recht und Personal";8620010,00;"n.a.";"n.a."
43;"Kultur und Marketing";13225600,00;"n.a.";"n.a."
90;"Zentrale Finanzdienstleistungen";15027300,00;"n.a.";"n.a."
25;"Ordnung und Sicherheit";15800330,00;"n.a.";"n.a."
36;"Stadtumbau";19268750,00;"n.a.";"n.a."
42;"Gesundheit und Soziales";63635150,00;"n.a.";"n.a."
44;"Jugend und Familie";81434430,00;"n.a.";"n.a."
;"Summe";243114300,00;"n.a.";"n.a."
