"Filter";;;;
;;;;
"Ergebnisplan 2014 (Aufwendungen)";;;;
;;;;
"Teilplan";"Titel";"Ansatz 2014 (Euro)";"Ansatz 2013 (Euro)";"Ergebnis 2013 (Euro)"
34;"Bauen und Umwelt";3785950,00;3758730,00;"n.a."
32;"Stadtentwicklung und Stadtplanung";3829880,00;3666820,00;"n.a."
21;"Finanzen";6251640,00;5296140,00;"n.a."
26;"Bürgerdienste";7748420,00;7603800,00;"n.a."
11;"Verwaltungsführung, Rechnungsprüfung, Personalrat, Gleichstellung und Integration";8021040,00;7912460,00;"n.a."
12;"Recht und Personal";8797620,00;8614560,00;"n.a."
43;"Kultur und Marketing";15200000,00;15200000,00;"n.a."
90;"Zentrale Finanzdienstleistungen";15753760,00;15515720,00;"n.a."
25;"Ordnung und Sicherheit";17719670,00;17242750,00;"n.a."
36;"Stadtumbau";21916090,00;21447360,00;"n.a."
42;"Gesundheit und Soziales";63936610,00;63773610,00;"n.a."
44;"Jugend und Familie";93703710,00;93452860,00;"n.a."
;"Summe";266664390,00;263484810,00;"n.a."
