"Filter";;;;
;;;;
"Ergebnisplan 2012 (Aufwendungen)";;;;
;;;;
"Teilplan";"Titel";"Ansatz 2012 (Euro)";"Ansatz 2011 (Euro)";"Ergebnis 2011 (Euro)"
34;"Bauen und Umwelt";3787290,00;3654690,00;3842809,62
32;"Stadtentwicklung und Stadtplanung";4005050,00;3579060,00;3526849,31
21;"Finanzen";4760460,00;5370550,00;5094375,27
11;"Verwaltungsführung, Rechnungsprüfung, Personalrat, Gleichstellung und Integration";6857160,00;6052240,00;6281315,76
26;"Bürgerdienste";7786490,00;7446190,00;7631326,26
12;"Recht und Personal";8662280,00;8620010,00;8371825,68
43;"Kultur und Marketing";13070000,00;13225600,00;12872334,01
25;"Ordnung und Sicherheit";16960190,00;15800330,00;15804770,12
90;"Zentrale Finanzdienstleistungen";17566970,00;15027300,00;16663235,58
36;"Stadtumbau";18956970,00;19268750,00;21227352,55
42;"Gesundheit und Soziales";63237090,00;63635150,00;59348348,71
44;"Jugend und Familie";85816630,00;81434430,00;79932200,56
;"Summe";251466580,00;243114300,00;240596743,43
